step,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0.9368421052631579,0.8804347826086957,0.45714285714285713,0.0,0.15789473684210525,0.42391304347826086,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4631578947368421,0.24761904761904763,0.07777777777777778,0.23958333333333334,0.0,0.4090909090909091,0.052083333333333336,0.0,0.0,0.0,0.07526881720430108,0.0,0.02531645569620253,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.01904761904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5698924731182796,0.0,0.07777777777777778,0.009900990099009901,0.0,0.07368421052631578,0.052083333333333336,0.0,0.0,0.0,0.2222222222222222,0.0,0.12962962962962962,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06930693069306931,0.0,0.0,0.06422018348623854,0.0,0.0,0.0,0.0,0.0,0.025,0.0
2,1.0,0.9238095238095239,0.9108910891089109,0.0,0.7373737373737373,0.6233766233766234,0.0,0.0,0.0,0.4235294117647059,0.0,0.0,0.0,0.0,0.39361702127659576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5473684210526316,0.09615384615384616,0.0,0.056179775280898875,0.0,0.1651376146788991,0.0425531914893617,0.01,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2830188679245283,0.0,0.0,0.0,0.0,0.0,0.5242718446601942,0.05102040816326531,0.24742268041237114,0.2604166666666667,0.0,0.5333333333333333,0.09278350515463918,0.0,0.0,0.046511627906976744,0.5227272727272727,0.0,0.0,0.0,0.0,0.5510204081632653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009009009009009009,0.26804123711340205,0.02857142857142857,0.011111111111111112,0.0,0.0,0.0,0.19148936170212766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.0
3,0.968421052631579,0.9482758620689655,0.7321428571428571,0.0,0.6697247706422018,0.5238095238095238,0.0,0.0,0.0,0.4117647058823529,0.0,0.0,0.0,0.0,0.21359223300970873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7282608695652174,0.049019607843137254,0.0,0.0,0.0,0.04819277108433735,0.0,0.5294117647058824,0.0,0.02830188679245283,0.05813953488372093,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.03571428571428571,0.0,0.04716981132075472,0.0,0.0,0.0,0.5526315789473685,0.009615384615384616,0.03225806451612903,0.026785714285714284,0.0,0.0,0.35185185185185186,0.0,0.0,0.0,0.008547008547008548,0.13978494623655913,0.0196078431372549,0.24210526315789474,0.0,0.10204081632653061,0.22772277227722773,0.06306306306306306,0.0,0.0,0.010869565217391304,0.6344086021505376,0.0,0.0,0.0,0.0,0.5576923076923077,0.042735042735042736,0.01020408163265306,0.0,0.4117647058823529,0.6210526315789474,0.5851063829787234,0.4074074074074074,0.0,0.0,0.021052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1568627450980392,0.0
4,0.9896907216494846,0.8857142857142857,0.8681318681318682,0.0,0.3076923076923077,0.52,0.0,0.0,0.0,0.1935483870967742,0.0,0.0,0.0,0.0,0.4380952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20689655172413793,0.18487394957983194,0.0,0.0,0.0,0.06382978723404255,0.0,0.04081632653061224,0.0,0.0,0.06140350877192982,0.0,0.0,0.0,0.0,0.032,0.0,0.009615384615384616,0.05660377358490566,0.0,0.0,0.008849557522123894,0.0,0.02,0.20454545454545456,0.047619047619047616,0.0,0.0,0.0,0.0,0.8627450980392157,0.034482758620689655,0.0,0.0,0.0,0.14583333333333334,0.0,0.0,0.0,0.03125,0.47058823529411764,0.1523809523809524,0.0,0.03614457831325301,0.0,0.8125,0.5700934579439252,0.02727272727272727,0.0,0.0,0.3142857142857143,0.2767857142857143,0.0,0.2549019607843137,0.803921568627451,0.6037735849056604,0.27722772277227725,0.3068181818181818,0.0,0.042105263157894736,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037383177570093455,0.01098901098901099
5,1.0,0.8113207547169812,0.8780487804878049,0.0,0.6666666666666666,0.5274725274725275,0.0,0.0,0.0,0.3977272727272727,0.0,0.011764705882352941,0.0,0.0,0.23853211009174313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16363636363636364,0.0,0.0,0.0,0.0,0.13592233009708737,0.021505376344086023,0.0,0.0,0.018518518518518517,0.08571428571428572,0.0,0.008695652173913044,0.025974025974025976,0.0,0.008849557522123894,0.012195121951219513,0.3877551020408163,0.0,0.043010752688172046,0.02727272727272727,0.0,0.0,0.18604651162790697,0.1134020618556701,0.5728155339805825,0.04504504504504504,0.0,0.5531914893617021,0.0,0.10101010101010101,0.18,0.09,0.009523809523809525,0.0,0.981651376146789,0.0,0.0,0.030303030303030304,0.22340425531914893,0.07766990291262135,0.07142857142857142,0.0,0.010869565217391304,0.0,0.03,0.0,0.14912280701754385,0.0,0.1348314606741573,0.9390243902439024,0.0,0.0,0.24175824175824176,0.05102040816326531,0.5740740740740741,0.02564102564102564,0.0,0.02727272727272727,0.01834862385321101,0.48598130841121495,0.24752475247524752,0.46078431372549017,0.25,0.15625,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
6,1.0,0.84,0.7232142857142857,0.0,0.7676767676767676,0.44594594594594594,0.0,0.0,0.0,0.8484848484848485,0.0,0.0,0.0,0.0,0.6082474226804123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.941747572815534,0.6333333333333333,0.0,0.13513513513513514,0.0,0.30851063829787234,0.0,0.21359223300970873,0.42391304347826086,0.23655913978494625,0.5603448275862069,0.0,0.0,0.13392857142857142,0.0,0.1686746987951807,0.1926605504587156,0.0,0.0,0.008333333333333333,0.028846153846153848,0.0425531914893617,0.02631578947368421,0.0,0.9494949494949495,0.3541666666666667,0.09649122807017543,0.42574257425742573,0.009900990099009901,0.0,0.17796610169491525,0.0,0.0,0.0,0.0,0.06306306306306306,0.0,0.0,0.012195121951219513,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.6521739130434783,0.021739130434782608,0.0,0.0,0.0,0.04950495049504951,0.0,0.0,0.0,0.0,0.27835051546391754,0.0,0.010309278350515464,0.0,0.0,0.011235955056179775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02727272727272727
7,1.0,0.8163265306122449,0.9702970297029703,0.0,0.5882352941176471,0.5315315315315315,0.0,0.0,0.0,0.21348314606741572,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9405940594059405,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.03296703296703297,0.0,0.2127659574468085,0.0,0.072,0.12149532710280374,0.0,0.0,0.0,0.43010752688172044,0.8181818181818182,0.010101010101010102,0.0,0.0,0.10869565217391304,0.42168674698795183,0.0,0.0,0.0,0.0,0.42105263157894735,0.0,0.0673076923076923,0.034482758620689655,0.06,0.27102803738317754,0.5327102803738317,0.0425531914893617,0.021505376344086023,0.011235955056179775,0.04040404040404041,0.0,0.08421052631578947,0.0,0.6981132075471698,0.4897959183673469,0.0,0.0,0.0,0.4069767441860465,0.2857142857142857,0.6186440677966102,0.011111111111111112,0.0,0.0,0.17857142857142858,0.0,0.049019607843137254,0.050505050505050504,0.0,0.27835051546391754,0.0,0.0,0.0,0.0,0.0,0.010752688172043012,0.0,0.0,0.0,0.01
8,1.0,0.8043478260869565,0.6495726495726496,0.0,0.6111111111111112,0.48484848484848486,0.0,0.0,0.0,0.30357142857142855,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9805825242718447,0.009433962264150943,0.0,0.0,0.0,0.0,0.0,0.04395604395604396,0.0,0.0,0.45161290322580644,0.34782608695652173,0.0,0.0,0.0,0.7291666666666666,0.16666666666666666,0.0,0.7674418604651163,0.0,0.37168141592920356,0.02127659574468085,0.056818181818181816,0.2268041237113402,0.009900990099009901,0.3669724770642202,0.0,0.5157894736842106,0.0,0.0,0.37606837606837606,0.0,0.24761904761904763,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.25,0.16822429906542055,0.0,0.0,0.0,0.27906976744186046,0.04395604395604396,0.008928571428571428,0.36538461538461536,0.0,0.1839080459770115,0.0,0.5436893203883495,0.34210526315789475,0.0,0.4691358024691358,0.03225806451612903,0.4117647058823529,0.018518518518518517,0.03225806451612903,0.0,0.0,0.0,0.020618556701030927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.0,0.8691588785046729,0.8058252427184466,0.0,0.6693548387096774,0.4838709677419355,0.0,0.0,0.0,0.6962025316455697,0.0,0.1415929203539823,0.0,0.0,0.6082474226804123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041237113402061855,0.0,0.0,0.0,0.0,0.39603960396039606,0.0,0.0,0.0,0.0,0.018691588785046728,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.40229885057471265,0.0,0.009259259259259259,0.0,0.0,0.0,0.031914893617021274,0.0,0.26548672566371684,0.425531914893617,0.04,0.0,0.09782608695652174,0.0,0.06956521739130435,0.9230769230769231,0.0,0.043010752688172046,0.0,0.0,0.20588235294117646,0.0,0.0,0.0,0.0,0.12380952380952381,0.0,0.03,0.0,0.0,0.30927835051546393,0.2761904761904762,0.010101010101010102,0.0,0.0,0.03225806451612903,0.05555555555555555,0.4909090909090909,0.14423076923076922,0.6224489795918368,0.5666666666666667,0.0,0.6413043478260869,0.02,0.40540540540540543,0.9444444444444444,0.0,0.007936507936507936,0.18803418803418803,0.0,0.20652173913043478,0.05747126436781609,0.020202020202020204,0.030612244897959183,0.0,0.696078431372549
10,0.96,0.7941176470588235,0.8210526315789474,0.0,0.7142857142857143,0.48,0.0,0.0,0.0,0.20408163265306123,0.0,0.0,0.0,0.0,0.8348623853211009,0.0,0.0,0.0,0.0,0.25274725274725274,0.0,0.0,0.0,0.0,0.011235955056179775,0.0,0.0,0.0,0.0,0.6,0.1111111111111111,0.00980392156862745,0.0,0.0,0.3829787234042553,0.8067226890756303,0.09782608695652174,0.27522935779816515,0.0,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.02727272727272727,0.11818181818181818,0.0,0.0,0.6091954022988506,0.0,0.009615384615384616,0.3977272727272727,0.030303030303030304,0.3055555555555556,0.0,0.058823529411764705,0.0,0.08035714285714286,0.9175257731958762,0.0425531914893617,0.17708333333333334,0.34375,0.1308411214953271,0.1864406779661017,0.422680412371134,0.11224489795918367,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.35964912280701755,0.031578947368421054,0.022988505747126436,0.0,0.0,0.4731182795698925,0.008264462809917356,0.4642857142857143,0.3333333333333333,0.0,0.21296296296296297,0.0,0.6363636363636364,0.04,0.020618556701030927,0.38095238095238093,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
